id,Barrio,Reportes
0,VILLA LURO,8292
1,RECOLETA,17655
2,VILLA GRAL. MITRE,8195
3,FLORES,31579
4,VILLA DEL PARQUE,16921
5,COGHLAN,5985
6,MATADEROS,13783
7,VELEZ SARSFIELD,7902
8,MONTE CASTRO,11066
9,PARQUE CHAS,5921
10,PALERMO,43038
11,PARQUE PATRICIOS,6517
12,BARRACAS,18596
13,VILLA LUGANO,23373
14,SAAVEDRA,13607
15,VILLA DEVOTO,23583
16,BALVANERA,17639
17,VILLA ORTUZAR,6193
18,VILLA PUEYRREDON,12547
19,VILLA URQUIZA,26674
20,CABALLITO,32288
21,CHACARITA,8822
22,VILLA SOLDATI,8215
23,RETIRO,6012
24,FLORESTA,9608
25,BELGRANO,25370
26,COLEGIALES,10689
27,VERSALLES,4072
28,PARQUE AVELLANEDA,12925
29,NUÑEZ,11747
30,CONSTITUCION,4120
31,SAN CRISTOBAL,8599
32,MONSERRAT,4515
33,VILLA RIACHUELO,2958
34,AGRONOMIA,4814
35,VILLA SANTA RITA,10147
36,PATERNAL,5956
37,PUERTO MADERO,6561
38,BOEDO,7598
39,ALMAGRO,18924
40,SAN NICOLAS,5718
41,LINIERS,11229
42,NUEVA POMPEYA,6456
43,PARQUE CHACABUCO,11340
44,VILLA CRESPO,16863
45,SAN TELMO,2925
46,VILLA REAL,3637
47,BOCA,3460
